Zeit	Kanal A	Kanal B
(s)	(V)	(V)

0.64832450	4.00341800	1.72399100
0.64965850	4.00341800	1.81279900
0.65099250	4.00341800	1.72399100
0.65232650	4.00341800	1.81279900
0.65366050	4.00341800	1.81279900
0.65499450	4.00341800	1.81279900
0.65632850	4.00341800	1.81279900
0.65766250	4.00341800	1.72399100
0.65899650	4.00341800	1.81279900
0.66033050	4.00341800	1.72399100
0.66166450	4.00341800	1.81279900
0.66299850	4.00341800	1.81279900
0.66433250	4.00341800	1.72399100
0.66566650	4.00341800	1.81279900
0.66700050	4.00341800	1.81279900
0.66833450	4.00341800	1.81279900
0.66966850	4.00341800	1.81279900
0.67100250	4.00341800	1.81279900
0.67233650	4.00341800	1.81279900
0.67367050	4.00341800	1.81279900
0.67500450	4.00341800	1.81279900
0.67633850	3.82458000	1.72399100
0.67767250	4.00341800	1.81279900
0.67900650	4.00341800	1.81279900
0.68034050	4.00341800	1.81279900
0.68167450	4.00341800	1.72399100
0.68300850	4.00341800	1.81279900
0.68434250	4.00341800	1.81279900
0.68567650	4.00341800	1.81279900
0.68701050	4.00341800	1.72399100
0.68834450	4.00341800	1.81279900
0.68967850	4.00341800	1.81279900
0.69101250	4.00341800	1.81279900
0.69234650	3.82458000	1.81279900
0.69368050	4.00341800	1.81279900
0.69501450	4.00341800	1.81279900
0.69634850	4.00341800	1.72399100
0.69768250	4.00341800	1.81279900
0.69901650	3.82458000	1.81279900
0.70035050	4.00341800	1.81279900
0.70168450	3.82458000	1.81279900
0.70301850	4.00341800	1.81279900
0.70435250	3.82458000	1.81279900
0.70568650	4.00341800	1.81279900
0.70702050	4.00341800	1.81279900
0.70835450	4.00341800	1.81279900
0.70968850	4.00341800	1.81279900
0.71102250	4.00341800	1.81279900
0.71235650	4.00341800	1.81279900
0.71369050	4.00341800	1.81279900
0.71502450	4.00341800	1.81279900
0.71635850	3.82458000	1.81279900
0.71769250	4.00341800	1.81279900
0.71902650	4.00341800	1.81279900
0.72036050	3.82458000	1.81279900
0.72169450	4.00341800	1.81279900
0.72302850	4.00341800	1.81279900
0.72436250	3.82458000	1.81279900
0.72569650	4.00341800	1.81279900
0.72703050	4.00341800	1.81279900
0.72836450	4.00341800	1.81279900
0.72969850	4.00341800	1.81279900
0.73103250	4.00341800	1.81279900
0.73236650	4.00341800	1.81279900
0.73370050	3.82458000	1.81279900
0.73503450	3.82458000	1.81279900
0.73636850	3.82458000	1.81279900
0.73770250	3.82458000	1.81279900
0.73903650	3.82458000	1.81279900
0.74037050	3.82458000	1.81279900
0.74170450	3.82458000	1.81279900
0.74303850	3.82458000	1.81279900
0.74437250	4.00341800	1.72399100
0.74570650	4.00341800	1.81279900
0.74704050	3.82458000	1.81279900
0.74837450	4.00341800	1.81279900
0.74970850	3.82458000	1.81279900
0.75104250	4.00341800	1.81279900
0.75237650	3.82458000	1.81279900
0.75371050	4.00341800	1.81279900
0.75504451	3.82458000	1.81279900
0.75637851	3.82458000	1.81279900
0.75771251	3.82458000	1.81279900
0.75904651	3.82458000	1.81279900
0.76038051	3.82458000	1.81279900
0.76171451	3.82458000	1.81279900
0.76304851	3.82458000	1.81279900
0.76438251	3.82458000	1.81279900
0.76571651	4.00341800	1.81279900
0.76705051	3.82458000	1.81279900
0.76838451	4.00341800	1.81279900
0.76971851	3.82458000	1.81279900
0.77105251	4.00341800	1.81279900
0.77238651	3.82458000	1.81279900
0.77372051	4.00341800	1.81279900
0.77505451	3.82458000	1.81279900
0.77638851	3.82458000	1.81279900
0.77772251	3.82458000	1.81279900
0.77905651	3.82458000	1.81279900
0.78039051	3.82458000	1.81279900
0.78172451	3.64574100	1.81279900
0.78305851	4.00341800	1.81279900
0.78439251	3.82458000	1.81279900
0.78572651	4.00341800	1.81279900
0.78706051	4.00341800	1.81279900
0.78839451	3.82458000	1.81279900
0.78972851	3.82458000	1.81279900
0.79106251	4.00341800	1.81279900
0.79239651	3.82458000	1.81279900
0.79373051	3.82458000	1.81279900
0.79506451	3.82458000	1.81279900
0.79639851	3.82458000	1.81279900
0.79773251	3.82458000	1.81279900
0.79906651	3.82458000	1.81279900
0.80040051	3.82458000	1.81279900
0.80173451	3.82458000	1.81279900
0.80306851	3.82458000	1.81279900
0.80440251	3.82458000	1.81279900
0.80573651	3.82458000	1.81279900
0.80707051	3.82458000	1.81279900
0.80840451	4.00341800	1.81279900
0.80973851	3.82458000	1.81279900
0.81107251	3.82458000	1.81279900
0.81240651	3.82458000	1.81279900
0.81374051	3.64574100	1.81279900
0.81507451	3.64574100	1.81279900
0.81640851	3.64574100	1.81279900
0.81774251	3.82458000	1.81279900
0.81907651	3.82458000	1.81279900
0.82041051	3.64574100	1.81279900
0.82174451	3.82458000	1.81279900
0.82307851	3.64574100	1.81279900
0.82441251	3.82458000	1.81279900
0.82574651	4.00341800	1.81279900
0.82708051	4.00341800	1.81279900
0.82841451	4.00341800	1.81279900
0.82974851	3.82458000	1.81279900
0.83108251	3.82458000	1.81279900
0.83241651	3.82458000	1.81279900
0.83375051	3.82458000	1.81279900
0.83508451	3.64574100	1.81279900
0.83641851	3.82458000	1.81279900
0.83775251	3.82458000	1.81279900
0.83908651	3.82458000	1.81279900
0.84042051	3.82458000	1.81279900
0.84175451	3.82458000	1.81279900
0.84308851	3.82458000	1.81279900
0.84442251	3.82458000	1.81279900
0.84575651	3.82458000	1.72399100
0.84709051	3.82458000	1.81279900
0.84842451	3.82458000	1.81279900
0.84975851	3.82458000	1.81279900
0.85109251	3.82458000	1.81279900
0.85242651	3.82458000	1.81279900
0.85376051	3.64574100	1.81279900
0.85509451	3.64574100	1.81279900
0.85642851	3.82458000	1.81279900
0.85776251	3.82458000	1.81279900
0.85909651	3.64574100	1.81279900
0.86043051	3.64574100	1.81279900
0.86176451	3.64574100	1.81279900
0.86309851	3.82458000	1.81279900
0.86443251	3.64574100	1.81279900
